ID,Country or area,Country code,Capital City,Note,Capital Type,City code,Latitude,Longitude,Population (thousands)
146,Mozambique,508,Maputo,,Capital,21910,-25.9653,32.5892,1101.77
147,Myanmar,104,Nay Pyi Taw,,Capital,205588,19.745,96.1297,500.22
148,Namibia,516,Windhoek,,Capital,21925,-22.5594,17.0832,404.28
149,Nauru,520,Nauru,,Capital,21926,-0.5308,166.9112,11.31
150,Nepal,524,Kathmandu,51,Capital,21928,27.7017,85.3206,1329.73
151,Netherlands,528,Amsterdam,,Capital,21930,52.374,4.8897,1131.69
152,Netherlands,528,s-Gravenhage (The Hague),52,Seat of Government,205146,52.0767,4.2986,685.14
153,New Caledonia,540,Nouméa,,Capital,21955,-22.2763,166.4572,197.79
154,New Zealand,554,Wellington,53,Capital,21962,-41.2866,174.7756,411.35
155,Nicaragua,558,Managua,,Capital,21967,12.1328,-86.2504,1047.92
156,Niger,562,Niamey,,Capital,21972,13.5137,2.1098,1213.78
157,Nigeria,566,Abuja,54,Capital,21976,9.0574,7.4898,2918.52
158,Niue,570,Alofi,,Capital,22025,-19.0585,-169.9213,0.73
159,Northern Mariana Islands,580,Saipan,55,Capital,22031,15.2123,145.7545,50.57
160,Norway,578,Oslo,,Capital,22028,59.9127,10.7461,1012.23
161,Oman,512,Masqat (Muscat),56,Capital,21922,23.6139,58.5922,1446.56
162,Pakistan,586,Islamabad,,Capital,22042,33.7035,73.0594,1061.41
163,Palau,585,Koror,,Capital,22034,7.3426,134.4789,11.41
164,Panama,591,Ciudad de Panamá (Panama City),57,Capital,22063,8.9958,-79.5196,1783.49
165,Papua New Guinea,598,Port Moresby,,Capital,22064,-9.4431,147.1797,366.86
166,Paraguay,600,Asunción,58,Capital,22065,-25.3007,-57.6359,3222.2
167,Peru,604,Lima,59,Capital,22078,-12.0432,-77.0282,10390.61
168,Philippines,608,Manila,60,Capital,22109,14.6042,120.9822,13482.47
169,Poland,616,Warszawa (Warsaw),,Capital,22161,52.2298,21.0118,1767.8
170,Portugal,620,Lisboa (Lisbon),61,Capital,22167,38.7169,-9.1399,2927.32
171,Puerto Rico,630,San Juan,62,Capital,22177,18.4663,-66.1057,2454.34
172,Qatar,634,Ad-Dawhah (Doha),63,Capital,22179,25.2747,51.5245,633.4
173,Republic of Korea,410,Seoul,64,Capital,21758,37.5683,126.9778,9963.5
174,Republic of Moldova,498,Chi_in_u,,Capital,21885,47.0056,28.8575,509.71
175,Réunion,638,Saint-Denis,,Capital,22180,-20.8823,55.4504,147.21
176,Romania,642,Bucuresti (Bucharest),,Capital,22191,44.4328,26.1043,1821.38
177,Russian Federation,643,Moskva (Moscow),,Capital,22299,55.755,37.6218,12409.74
178,Rwanda,646,Kigali,,Capital,22404,-1.9474,30.0579,1057.84
179,Saint Helena,654,Jamestown,,Capital,22405,-15.9387,-5.7168,0.6
180,Saint Kitts and Nevis,659,Basseterre,,Capital,22406,17.2948,-62.7261,14.43
181,Saint Lucia,662,Castries,,Capital,22408,14.006,-60.991,22.26
182,Saint Pierre and Miquelon,666,Saint-Pierre,,Capital,22409,46.7738,-56.1815,5.72
183,Saint Vincent and the Grenadines,670,Kingstown,,Capital,22410,13.1587,-61.2248,26.64
184,Samoa,882,Apia,,Capital,23236,-13.8333,-171.7667,36.07
185,San Marino,674,San Marino,,Capital,22411,43.9333,12.45,4.47
186,Sao Tome and Principe,678,São Tomé,,Capital,22412,0.3365,6.7273,80.1
187,Saudi Arabia,682,Ar-Riyadh (Riyadh),,Capital,22432,24.6905,46.7096,6906.6
188,Senegal,686,Dakar,65,Capital,22439,14.6937,-17.4441,2978.42
189,Serbia,688,Beograd (Belgrade),66,Capital,23241,44.8176,20.4633,1389.35
190,Seychelles,690,Victoria,,Capital,22444,-4.6167,55.45,28.09
191,Sierra Leone,694,Freetown,,Capital,22445,8.484,-13.2299,1135.95
192,Singapore,702,Singapore,,Capital,22447,1.2897,103.8501,5791.9
193,Sint Maarten (Dutch part),534,Philipsburg,67,Capital,206154,18.026,-63.0458,40.55
194,Slovakia,703,Bratislava,,Capital,22448,48.1482,17.1067,429.92
195,Slovenia,705,Ljubljana,,Capital,22474,46.0511,14.5051,286.49
196,Solomon Islands,90,Honiara,,Capital,20311,-9.4333,159.95,81.8
197,Somalia,706,Muqdisho (Mogadishu),68,Capital,22477,2.0416,45.3435,2081.62
198,South Africa,710,Bloemfontein,,Judiciary Capital,22479,-29.1211,26.214,545.88
199,South Africa,710,Cape Town,,Legislative Capital,22481,-33.9258,18.4232,4430.37
200,South Africa,710,Pretoria,,Administrative Capital,22501,-25.7449,28.1878,2378.35
201,South Sudan,728,Juba,,Capital,22577,4.8517,31.5825,368.91
202,Spain,724,Madrid,,Capital,22549,40.4165,-3.7026,6497.12
203,Sri Lanka,144,Colombo,69,Capital,20414,6.9319,79.8478,599.82
204,Sri Lanka,144,Sri Jayewardenepura Kotte,,Legislative Capital,20418,6.9028,79.9083,103.25
205,State of Palestine,275,Al-Quds[East Jerusalem],70,Capital,23562,31.7834,35.2339,275.09
206,Sudan,729,Al-Khartum (Khartoum),,Capital,22579,15.5518,32.5324,5534.08
207,Suriname,740,Paramaribo,71,Capital,22587,5.8664,-55.1668,239.46
